"nis","nama","keterangan","jurusan"
"10063","Siswa Tes 63","Lulus","TJKT"
"10064","Siswa Tes 64","Lulus","TOI"
"10065","Siswa Tes 65","Lulus","TITL"
"10066","Siswa Tes 66","Lulus","KA"
"10067","Siswa Tes 67","Lulus","DKV"
"10068","Siswa Tes 68","Lulus","BCPF"
"10069","Siswa Tes 69","Lulus","OTO"
"10070","Siswa Tes 70","Lulus","LAS"
"10071","Siswa Tes 71","Lulus","MESIN"
"10072","Siswa Tes 72","Lulus","TJKT"
"10073","Siswa Tes 73","Lulus","TOI"
"10074","Siswa Tes 74","Lulus","TITL"
"10075","Siswa Tes 75","Lulus","KA"
"10076","Siswa Tes 76","Lulus","DKV"
"10077","Siswa Tes 77","Lulus","BCPF"
"10078","Siswa Tes 78","Lulus","OTO"
"10079","Siswa Tes 79","Lulus","LAS"
"10080","Siswa Tes 80","Lulus","MESIN"
"10081","Siswa Tes 81","Lulus","TJKT"
"10082","Siswa Tes 82","Lulus","TOI"
"10083","Siswa Tes 83","Lulus","TITL"
"10084","Siswa Tes 84","Lulus","KA"
"10085","Siswa Tes 85","Lulus","DKV"
"10086","Siswa Tes 86","Lulus","BCPF"
"10087","Siswa Tes 87","Lulus","OTO"
"10088","Siswa Tes 88","Lulus","LAS"
"10089","Siswa Tes 89","Lulus","MESIN"
"10090","Siswa Tes 90","Lulus","TJKT"
"10091","Siswa Tes 91","Lulus","TOI"
"10092","Siswa Tes 92","Lulus","TITL"
"10093","Siswa Tes 93","Lulus","KA"
"10094","Siswa Tes 94","Lulus","DKV"
"10095","Siswa Tes 95","Lulus","BCPF"
"10096","Siswa Tes 96","Lulus","OTO"
"10097","Siswa Tes 97","Lulus","LAS"
"10098","Siswa Tes 98","Lulus","MESIN"
"10099","Siswa Tes 99","Lulus","TJKT"
"10100","Siswa Tes 100","Lulus","TOI"
"10101","Siswa Tes 101","Lulus","TITL"
"10102","Siswa Tes 102","Lulus","KA"
"10103","Siswa Tes 103","Lulus","DKV"
"10104","Siswa Tes 104","Lulus","BCPF"
"10105","Siswa Tes 105","Lulus","OTO"
"10106","Siswa Tes 106","Lulus","LAS"
"10107","Siswa Tes 107","Lulus","MESIN"
"10108","Siswa Tes 108","Lulus","TJKT"
"10109","Siswa Tes 109","Lulus","TOI"
"10110","Siswa Tes 110","Lulus","TITL"
"10111","Siswa Tes 111","Lulus","KA"
"10112","Siswa Tes 112","Lulus","DKV"
"10113","Siswa Tes 113","Lulus","BCPF"
"10114","Siswa Tes 114","Lulus","OTO"
"10115","Siswa Tes 115","Lulus","LAS"
"10116","Siswa Tes 116","Lulus","MESIN"
"10117","Siswa Tes 117","Lulus","TJKT"
"10118","Siswa Tes 118","Lulus","TOI"
"10119","Siswa Tes 119","Lulus","TITL"
"10120","Siswa Tes 120","Lulus","KA"
"10121","Siswa Tes 121","Lulus","DKV"
"10122","Siswa Tes 122","Lulus","BCPF"
"10123","Siswa Tes 123","Lulus","OTO"
"10124","Siswa Tes 124","Lulus","LAS"
"10125","Siswa Tes 125","Lulus","MESIN"
"10126","Siswa Tes 126","Lulus","TJKT"
"10127","Siswa Tes 127","Lulus","TOI"
"10128","Siswa Tes 128","Lulus","TITL"
"10129","Siswa Tes 129","Lulus","KA"
"10130","Siswa Tes 130","Lulus","DKV"
"10131","Siswa Tes 131","Lulus","BCPF"
"10132","Siswa Tes 132","Lulus","OTO"
"10133","Siswa Tes 133","Lulus","LAS"
"10134","Siswa Tes 134","Lulus","MESIN"
"10135","Siswa Tes 135","Lulus","TJKT"
"10136","Siswa Tes 136","Lulus","TOI"
"10137","Siswa Tes 137","Lulus","TITL"
"10138","Siswa Tes 138","Lulus","KA"
"10139","Siswa Tes 139","Lulus","DKV"
"10140","Siswa Tes 140","Lulus","BCPF"
"10141","Siswa Tes 141","Lulus","OTO"
"10142","Siswa Tes 142","Lulus","LAS"
"10143","Siswa Tes 143","Lulus","MESIN"
"10144","Siswa Tes 144","Lulus","TJKT"
"10145","Siswa Tes 145","Lulus","TOI"
"10146","Siswa Tes 146","Lulus","TITL"
"10147","Siswa Tes 147","Lulus","KA"
"10148","Siswa Tes 148","Lulus","DKV"
"10149","Siswa Tes 149","Lulus","BCPF"
"10150","Siswa Tes 150","Lulus","OTO"
"10151","Siswa Tes 151","Lulus","LAS"
"10152","Siswa Tes 152","Lulus","MESIN"
"10153","Siswa Tes 153","Lulus","TJKT"
"10154","Siswa Tes 154","Lulus","TOI"
"10155","Siswa Tes 155","Lulus","TITL"
"10156","Siswa Tes 156","Lulus","KA"
"10157","Siswa Tes 157","Lulus","DKV"
"10158","Siswa Tes 158","Lulus","BCPF"
"10159","Siswa Tes 159","Lulus","OTO"
"10160","Siswa Tes 160","Lulus","LAS"
"10161","Siswa Tes 161","Lulus","MESIN"
"10162","Siswa Tes 162","Lulus","TJKT"
"10163","Siswa Tes 163","Lulus","TOI"
"10164","Siswa Tes 164","Lulus","TITL"
"10165","Siswa Tes 165","Lulus","KA"
"10166","Siswa Tes 166","Lulus","DKV"
"10167","Siswa Tes 167","Lulus","BCPF"
"10168","Siswa Tes 168","Lulus","OTO"
"10169","Siswa Tes 169","Lulus","LAS"
"10170","Siswa Tes 170","Lulus","MESIN"
"10171","Siswa Tes 171","Lulus","TJKT"
"10172","Siswa Tes 172","Lulus","TOI"
"10173","Siswa Tes 173","Lulus","TITL"
"10174","Siswa Tes 174","Lulus","KA"
"10175","Siswa Tes 175","Lulus","DKV"
"10176","Siswa Tes 176","Lulus","BCPF"
"10177","Siswa Tes 177","Lulus","OTO"
"10178","Siswa Tes 178","Lulus","LAS"
"10179","Siswa Tes 179","Lulus","MESIN"
"10180","Siswa Tes 180","Lulus","TJKT"
"10181","Siswa Tes 181","Lulus","TOI"
"10182","Siswa Tes 182","Lulus","TITL"
"10183","Siswa Tes 183","Lulus","KA"
"10184","Siswa Tes 184","Lulus","DKV"
"10185","Siswa Tes 185","Lulus","BCPF"
"10186","Siswa Tes 186","Lulus","OTO"
"10187","Siswa Tes 187","Lulus","LAS"
"10188","Siswa Tes 188","Lulus","MESIN"
"10189","Siswa Tes 189","Lulus","TJKT"
"10190","Siswa Tes 190","Lulus","TOI"
"10191","Siswa Tes 191","Lulus","TITL"
"10192","Siswa Tes 192","Lulus","KA"
"10193","Siswa Tes 193","Lulus","DKV"
"10194","Siswa Tes 194","Lulus","BCPF"
"10195","Siswa Tes 195","Lulus","OTO"
"10196","Siswa Tes 196","Lulus","LAS"
"10197","Siswa Tes 197","Lulus","MESIN"
"10198","Siswa Tes 198","Lulus","TJKT"
"10199","Siswa Tes 199","Lulus","TOI"
"10200","Siswa Tes 200","Lulus","TITL"
"10201","Siswa Tes 201","Lulus","KA"
"10202","Siswa Tes 202","Lulus","DKV"
"10203","Siswa Tes 203","Lulus","BCPF"
"10204","Siswa Tes 204","Lulus","OTO"
"10205","Siswa Tes 205","Lulus","LAS"
"10206","Siswa Tes 206","Lulus","MESIN"
"10207","Siswa Tes 207","Lulus","TJKT"
"10208","Siswa Tes 208","Lulus","TOI"
"10209","Siswa Tes 209","Lulus","TITL"
"10210","Siswa Tes 210","Lulus","KA"
"10211","Siswa Tes 211","Lulus","DKV"
"10212","Siswa Tes 212","Lulus","BCPF"
"10213","Siswa Tes 213","Lulus","OTO"
"10214","Siswa Tes 214","Lulus","LAS"
"10215","Siswa Tes 215","Lulus","MESIN"
"10216","Siswa Tes 216","Lulus","TJKT"
"10217","Siswa Tes 217","Lulus","TOI"
"10218","Siswa Tes 218","Lulus","TITL"
"10219","Siswa Tes 219","Lulus","KA"
"10220","Siswa Tes 220","Lulus","DKV"
"10221","Siswa Tes 221","Lulus","BCPF"
"10222","Siswa Tes 222","Lulus","OTO"
"10223","Siswa Tes 223","Lulus","LAS"
"10224","Siswa Tes 224","Lulus","MESIN"
"10225","Siswa Tes 225","Lulus","TJKT"
"10226","Siswa Tes 226","Lulus","TOI"
"10227","Siswa Tes 227","Lulus","TITL"
"10228","Siswa Tes 228","Lulus","KA"
"10229","Siswa Tes 229","Lulus","DKV"
"10230","Siswa Tes 230","Lulus","BCPF"
"10231","Siswa Tes 231","Lulus","OTO"
"10232","Siswa Tes 232","Lulus","LAS"
"10233","Siswa Tes 233","Lulus","MESIN"
"10234","Siswa Tes 234","Lulus","TJKT"
"10235","Siswa Tes 235","Lulus","TOI"
"10236","Siswa Tes 236","Lulus","TITL"
"10237","Siswa Tes 237","Lulus","KA"
"10238","Siswa Tes 238","Lulus","DKV"
"10239","Siswa Tes 239","Lulus","BCPF"
"10240","Siswa Tes 240","Lulus","OTO"
"10241","Siswa Tes 241","Lulus","LAS"
"10242","Siswa Tes 242","Lulus","MESIN"
"10243","Siswa Tes 243","Lulus","TJKT"
"10244","Siswa Tes 244","Lulus","TOI"
"10245","Siswa Tes 245","Lulus","TITL"
"10246","Siswa Tes 246","Lulus","KA"
"10247","Siswa Tes 247","Lulus","DKV"
"10248","Siswa Tes 248","Lulus","BCPF"
"10249","Siswa Tes 249","Lulus","OTO"
"10250","Siswa Tes 250","Lulus","LAS"
"10251","Siswa Tes 251","Lulus","MESIN"
"10252","Siswa Tes 252","Lulus","TJKT"
"10253","Siswa Tes 253","Lulus","TOI"
"10254","Siswa Tes 254","Lulus","TITL"
"10255","Siswa Tes 255","Lulus","KA"
"10256","Siswa Tes 256","Lulus","DKV"
"10257","Siswa Tes 257","Lulus","BCPF"
"10258","Siswa Tes 258","Lulus","OTO"
"10259","Siswa Tes 259","Lulus","LAS"
"10260","Siswa Tes 260","Lulus","MESIN"
"10261","Siswa Tes 261","Lulus","TJKT"
"10262","Siswa Tes 262","Lulus","TOI"
"10263","Siswa Tes 263","Lulus","TITL"
"10264","Siswa Tes 264","Lulus","KA"
"10265","Siswa Tes 265","Lulus","DKV"
"10266","Siswa Tes 266","Lulus","BCPF"
"10267","Siswa Tes 267","Lulus","OTO"
"10268","Siswa Tes 268","Lulus","LAS"
"10269","Siswa Tes 269","Lulus","MESIN"
"10270","Siswa Tes 270","Lulus","TJKT"
"10271","Siswa Tes 271","Lulus","TOI"
"10272","Siswa Tes 272","Lulus","TITL"
"10273","Siswa Tes 273","Lulus","KA"
"10274","Siswa Tes 274","Lulus","DKV"
"10275","Siswa Tes 275","Lulus","BCPF"
"10276","Siswa Tes 276","Lulus","OTO"
"10277","Siswa Tes 277","Lulus","LAS"
"10278","Siswa Tes 278","Lulus","MESIN"
"10279","Siswa Tes 279","Lulus","TJKT"
"10280","Siswa Tes 280","Lulus","TOI"
"10281","Siswa Tes 281","Lulus","TITL"
"10282","Siswa Tes 282","Lulus","KA"
"10283","Siswa Tes 283","Lulus","DKV"
"10284","Siswa Tes 284","Lulus","BCPF"
"10285","Siswa Tes 285","Lulus","OTO"
"10286","Siswa Tes 286","Lulus","LAS"
"10287","Siswa Tes 287","Lulus","MESIN"
"10288","Siswa Tes 288","Lulus","TJKT"
"10289","Siswa Tes 289","Lulus","TOI"
"10290","Siswa Tes 290","Lulus","TITL"
"10291","Siswa Tes 291","Lulus","KA"
"10292","Siswa Tes 292","Lulus","DKV"
"10293","Siswa Tes 293","Lulus","BCPF"
"10294","Siswa Tes 294","Lulus","OTO"
"10295","Siswa Tes 295","Lulus","LAS"
"10296","Siswa Tes 296","Lulus","MESIN"
"10297","Siswa Tes 297","Lulus","TJKT"
"10298","Siswa Tes 298","Lulus","TOI"
"10299","Siswa Tes 299","Lulus","TITL"
"10300","Siswa Tes 300","Lulus","KA"
"10301","Siswa Tes 301","Lulus","DKV"
"10302","Siswa Tes 302","Lulus","BCPF"
"10303","Siswa Tes 303","Lulus","OTO"
"10304","Siswa Tes 304","Lulus","LAS"
"10305","Siswa Tes 305","Lulus","MESIN"
"10306","Siswa Tes 306","Lulus","TJKT"
"10307","Siswa Tes 307","Lulus","TOI"
"10308","Siswa Tes 308","Lulus","TITL"
"10309","Siswa Tes 309","Lulus","KA"
"10310","Siswa Tes 310","Lulus","DKV"
"10311","Siswa Tes 311","Lulus","BCPF"
"10312","Siswa Tes 312","Lulus","OTO"
"10313","Siswa Tes 313","Lulus","LAS"
"10314","Siswa Tes 314","Lulus","MESIN"
"10315","Siswa Tes 315","Lulus","TJKT"
"10316","Siswa Tes 316","Lulus","TOI"
"10317","Siswa Tes 317","Lulus","TITL"
"10318","Siswa Tes 318","Lulus","KA"
"10319","Siswa Tes 319","Lulus","DKV"
"10320","Siswa Tes 320","Lulus","BCPF"
"10321","Siswa Tes 321","Lulus","OTO"
"10322","Siswa Tes 322","Lulus","LAS"
"10323","Siswa Tes 323","Lulus","MESIN"
"10324","Siswa Tes 324","Lulus","TJKT"
"10325","Siswa Tes 325","Lulus","TOI"
"10326","Siswa Tes 326","Lulus","TITL"
"10327","Siswa Tes 327","Lulus","KA"
"10328","Siswa Tes 328","Lulus","DKV"
"10329","Siswa Tes 329","Lulus","BCPF"
"10330","Siswa Tes 330","Lulus","OTO"
"10331","Siswa Tes 331","Lulus","LAS"
"10332","Siswa Tes 332","Lulus","MESIN"
"10333","Siswa Tes 333","Lulus","TJKT"
"10334","Siswa Tes 334","Lulus","TOI"
"10335","Siswa Tes 335","Lulus","TITL"
"10336","Siswa Tes 336","Lulus","KA"
"10337","Siswa Tes 337","Lulus","DKV"
"10338","Siswa Tes 338","Lulus","BCPF"
"10339","Siswa Tes 339","Lulus","OTO"
"10340","Siswa Tes 340","Lulus","LAS"
"10341","Siswa Tes 341","Lulus","MESIN"
"10342","Siswa Tes 342","Lulus","TJKT"
"10343","Siswa Tes 343","Lulus","TOI"
"10344","Siswa Tes 344","Lulus","TITL"
"10345","Siswa Tes 345","Lulus","KA"
"10346","Siswa Tes 346","Lulus","DKV"
"10347","Siswa Tes 347","Lulus","BCPF"
"10348","Siswa Tes 348","Lulus","OTO"
"10349","Siswa Tes 349","Lulus","LAS"
"10350","Siswa Tes 350","Lulus","MESIN"
"10351","Siswa Tes 351","Lulus","TJKT"
"10352","Siswa Tes 352","Lulus","TOI"
"10353","Siswa Tes 353","Lulus","TITL"
"10354","Siswa Tes 354","Lulus","KA"
"10355","Siswa Tes 355","Lulus","DKV"
"10356","Siswa Tes 356","Lulus","BCPF"
"10357","Siswa Tes 357","Lulus","OTO"
"10358","Siswa Tes 358","Lulus","LAS"
"10359","Siswa Tes 359","Lulus","MESIN"
"10360","Siswa Tes 360","Lulus","TJKT"
"10361","Siswa Tes 361","Lulus","TOI"
"10362","Siswa Tes 362","Lulus","TITL"
"10363","Siswa Tes 363","Lulus","KA"
"10364","Siswa Tes 364","Lulus","DKV"
"10365","Siswa Tes 365","Lulus","BCPF"
"10366","Siswa Tes 366","Lulus","OTO"
"10367","Siswa Tes 367","Lulus","LAS"
"10368","Siswa Tes 368","Lulus","MESIN"
"10369","Siswa Tes 369","Lulus","TJKT"
"10370","Siswa Tes 370","Lulus","TOI"
"10371","Siswa Tes 371","Lulus","TITL"
"10372","Siswa Tes 372","Lulus","KA"
"10373","Siswa Tes 373","Lulus","DKV"
"10374","Siswa Tes 374","Lulus","BCPF"
"10375","Siswa Tes 375","Lulus","OTO"
"10376","Siswa Tes 376","Lulus","LAS"
"10377","Siswa Tes 377","Lulus","MESIN"
"10378","Siswa Tes 378","Lulus","TJKT"
"10379","Siswa Tes 379","Lulus","TOI"
"10380","Siswa Tes 380","Lulus","TITL"
"10381","Siswa Tes 381","Lulus","KA"
"10382","Siswa Tes 382","Lulus","DKV"
"10383","Siswa Tes 383","Lulus","BCPF"
"10384","Siswa Tes 384","Lulus","OTO"
"10385","Siswa Tes 385","Lulus","LAS"
"10386","Siswa Tes 386","Lulus","MESIN"
"10387","Siswa Tes 387","Lulus","TJKT"
"10388","Siswa Tes 388","Lulus","TOI"
"10389","Siswa Tes 389","Lulus","TITL"
"10390","Siswa Tes 390","Lulus","KA"
"10391","Siswa Tes 391","Lulus","DKV"
"10392","Siswa Tes 392","Lulus","BCPF"
"10393","Siswa Tes 393","Lulus","OTO"
"10394","Siswa Tes 394","Lulus","LAS"
"10395","Siswa Tes 395","Lulus","MESIN"
"10396","Siswa Tes 396","Lulus","TJKT"
"10397","Siswa Tes 397","Lulus","TOI"
"10398","Siswa Tes 398","Lulus","TITL"
"10399","Siswa Tes 399","Lulus","KA"
"10400","Siswa Tes 400","Lulus","DKV"
"10401","Siswa Tes 401","Lulus","BCPF"
"10402","Siswa Tes 402","Lulus","OTO"
"10403","Siswa Tes 403","Lulus","LAS"
"10404","Siswa Tes 404","Lulus","MESIN"
"10405","Siswa Tes 405","Lulus","TJKT"
"10406","Siswa Tes 406","Lulus","TOI"
"10407","Siswa Tes 407","Lulus","TITL"
"10408","Siswa Tes 408","Lulus","KA"
"10409","Siswa Tes 409","Lulus","DKV"
"10410","Siswa Tes 410","Lulus","BCPF"
"10411","Siswa Tes 411","Lulus","OTO"
"10412","Siswa Tes 412","Lulus","LAS"
"10413","Siswa Tes 413","Lulus","MESIN"
"10414","Siswa Tes 414","Lulus","TJKT"
"10415","Siswa Tes 415","Lulus","TOI"
"10416","Siswa Tes 416","Lulus","TITL"
"10417","Siswa Tes 417","Lulus","KA"
"10418","Siswa Tes 418","Lulus","DKV"
"10419","Siswa Tes 419","Lulus","BCPF"
"10420","Siswa Tes 420","Lulus","OTO"
"10421","Siswa Tes 421","Lulus","LAS"
"10422","Siswa Tes 422","Lulus","MESIN"
"10423","Siswa Tes 423","Lulus","TJKT"
"10424","Siswa Tes 424","Lulus","TOI"
"10425","Siswa Tes 425","Lulus","TITL"
"10426","Siswa Tes 426","Lulus","KA"
"10427","Siswa Tes 427","Lulus","DKV"
"10428","Siswa Tes 428","Lulus","BCPF"
"10429","Siswa Tes 429","Lulus","OTO"
"10430","Siswa Tes 430","Lulus","LAS"
"10431","Siswa Tes 431","Lulus","MESIN"
"10432","Siswa Tes 432","Lulus","TJKT"
"10433","Siswa Tes 433","Lulus","TOI"
"10434","Siswa Tes 434","Lulus","TITL"
"10435","Siswa Tes 435","Lulus","KA"
"10436","Siswa Tes 436","Lulus","DKV"
"10437","Siswa Tes 437","Lulus","BCPF"
"10438","Siswa Tes 438","Lulus","OTO"
"10439","Siswa Tes 439","Lulus","LAS"
"10440","Siswa Tes 440","Lulus","MESIN"
"10441","Siswa Tes 441","Lulus","TJKT"
"10442","Siswa Tes 442","Lulus","TOI"
"10443","Siswa Tes 443","Lulus","TITL"
"10444","Siswa Tes 444","Lulus","KA"
"10445","Siswa Tes 445","Lulus","DKV"
"10446","Siswa Tes 446","Lulus","BCPF"
"10447","Siswa Tes 447","Lulus","OTO"
"10448","Siswa Tes 448","Lulus","LAS"
"10449","Siswa Tes 449","Lulus","MESIN"
"10450","Siswa Tes 450","Lulus","TJKT"
"10451","Siswa Tes 451","Lulus","TOI"
"10452","Siswa Tes 452","Lulus","TITL"
"10453","Siswa Tes 453","Lulus","KA"
"10454","Siswa Tes 454","Lulus","DKV"
"10455","Siswa Tes 455","Lulus","BCPF"
"10456","Siswa Tes 456","Lulus","OTO"
"10457","Siswa Tes 457","Lulus","LAS"
"10458","Siswa Tes 458","Lulus","MESIN"
"10459","Siswa Tes 459","Lulus","TJKT"
"10460","Siswa Tes 460","Lulus","TOI"
"10461","Siswa Tes 461","Lulus","TITL"
"10462","Siswa Tes 462","Lulus","KA"
"10463","Siswa Tes 463","Lulus","DKV"
"10464","Siswa Tes 464","Lulus","BCPF"
"10465","Siswa Tes 465","Lulus","OTO"
"10466","Siswa Tes 466","Lulus","LAS"
"10467","Siswa Tes 467","Lulus","MESIN"
"10468","Siswa Tes 468","Lulus","TJKT"
"10469","Siswa Tes 469","Lulus","TOI"
"10470","Siswa Tes 470","Lulus","TITL"
"10471","Siswa Tes 471","Lulus","KA"
"10472","Siswa Tes 472","Lulus","DKV"
"10473","Siswa Tes 473","Lulus","BCPF"
"10474","Siswa Tes 474","Lulus","OTO"
"10475","Siswa Tes 475","Lulus","LAS"
"10476","Siswa Tes 476","Lulus","MESIN"
"10477","Siswa Tes 477","Lulus","TJKT"
"10478","Siswa Tes 478","Lulus","TOI"
"10479","Siswa Tes 479","Lulus","TITL"
"10480","Siswa Tes 480","Lulus","KA"
"10481","Siswa Tes 481","Lulus","DKV"
"10482","Siswa Tes 482","Lulus","BCPF"
"10483","Siswa Tes 483","Lulus","OTO"
"10484","Siswa Tes 484","Lulus","LAS"
"10485","Siswa Tes 485","Lulus","MESIN"
"10486","Siswa Tes 486","Lulus","TJKT"
"10487","Siswa Tes 487","Lulus","TOI"
"10488","Siswa Tes 488","Lulus","TITL"
"10489","Siswa Tes 489","Lulus","KA"
"10490","Siswa Tes 490","Lulus","DKV"
"10491","Siswa Tes 491","Lulus","BCPF"
"10492","Siswa Tes 492","Lulus","OTO"
"10493","Siswa Tes 493","Lulus","LAS"
"10494","Siswa Tes 494","Lulus","MESIN"
"10495","Siswa Tes 495","Lulus","TJKT"
"10496","Siswa Tes 496","Lulus","TOI"
"10497","Siswa Tes 497","Lulus","TITL"
"10498","Siswa Tes 498","Lulus","KA"
"10499","Siswa Tes 499","Lulus","DKV"
"10500","Siswa Tes 500","Lulus","BCPF"
"10501","Siswa Tes 501","Lulus","OTO"
"10502","Siswa Tes 502","Lulus","LAS"
"10503","Siswa Tes 503","Lulus","MESIN"
"10504","Siswa Tes 504","Lulus","TJKT"
"10505","Siswa Tes 505","Lulus","TOI"
"10506","Siswa Tes 506","Lulus","TITL"
"10507","Siswa Tes 507","Lulus","KA"
"10508","Siswa Tes 508","Lulus","DKV"
"10509","Siswa Tes 509","Lulus","BCPF"
"10510","Siswa Tes 510","Lulus","OTO"
"10511","Siswa Tes 511","Lulus","LAS"
"10512","Siswa Tes 512","Lulus","MESIN"
"10513","Siswa Tes 513","Lulus","TJKT"
"10514","Siswa Tes 514","Lulus","TOI"
"10515","Siswa Tes 515","Lulus","TITL"
"10516","Siswa Tes 516","Lulus","KA"
"10517","Siswa Tes 517","Lulus","DKV"
"10518","Siswa Tes 518","Lulus","BCPF"
"10519","Siswa Tes 519","Lulus","OTO"
"10520","Siswa Tes 520","Lulus","LAS"
"10521","Siswa Tes 521","Lulus","MESIN"
"10522","Siswa Tes 522","Lulus","TJKT"
"10523","Siswa Tes 523","Lulus","TOI"
"10524","Siswa Tes 524","Lulus","TITL"
"10525","Siswa Tes 525","Lulus","KA"
"10526","Siswa Tes 526","Lulus","DKV"
"10527","Siswa Tes 527","Lulus","BCPF"
"10528","Siswa Tes 528","Lulus","OTO"
"10529","Siswa Tes 529","Lulus","LAS"
"10530","Siswa Tes 530","Lulus","MESIN"
"10531","Siswa Tes 531","Lulus","TJKT"
"10532","Siswa Tes 532","Lulus","TOI"
"10533","Siswa Tes 533","Lulus","TITL"
"10534","Siswa Tes 534","Lulus","KA"
"10535","Siswa Tes 535","Lulus","DKV"
"10536","Siswa Tes 536","Lulus","BCPF"
"10537","Siswa Tes 537","Lulus","OTO"
"10538","Siswa Tes 538","Lulus","LAS"
"10539","Siswa Tes 539","Lulus","MESIN"
"10540","Siswa Tes 540","Lulus","TJKT"
"10541","Siswa Tes 541","Lulus","TOI"
"10542","Siswa Tes 542","Lulus","TITL"
"10543","Siswa Tes 543","Lulus","KA"
"10544","Siswa Tes 544","Lulus","DKV"
"10545","Siswa Tes 545","Lulus","BCPF"
"10546","Siswa Tes 546","Lulus","OTO"
"10547","Siswa Tes 547","Lulus","LAS"
"10548","Siswa Tes 548","Lulus","MESIN"
"10549","Siswa Tes 549","Lulus","TJKT"
"10550","Siswa Tes 550","Lulus","TOI"
"10551","Siswa Tes 551","Lulus","TITL"
"10552","Siswa Tes 552","Lulus","KA"
"10553","Siswa Tes 553","Lulus","DKV"
"10554","Siswa Tes 554","Lulus","BCPF"
"10555","Siswa Tes 555","Lulus","OTO"
"10556","Siswa Tes 556","Lulus","LAS"
"10557","Siswa Tes 557","Lulus","MESIN"
"10558","Siswa Tes 558","Lulus","TJKT"
"10559","Siswa Tes 559","Lulus","TOI"
"10560","Siswa Tes 560","Lulus","TITL"
"10561","Siswa Tes 561","Lulus","KA"
"10562","Siswa Tes 562","Lulus","DKV"
"10563","Siswa Tes 563","Lulus","BCPF"
"10564","Siswa Tes 564","Lulus","OTO"
"10565","Siswa Tes 565","Lulus","LAS"
"10566","Siswa Tes 566","Lulus","MESIN"
"10567","Siswa Tes 567","Lulus","TJKT"
"10568","Siswa Tes 568","Lulus","TOI"
"10569","Siswa Tes 569","Lulus","TITL"
"10570","Siswa Tes 570","Lulus","KA"
"10571","Siswa Tes 571","Lulus","DKV"
"10572","Siswa Tes 572","Lulus","BCPF"
"10573","Siswa Tes 573","Lulus","OTO"
"10574","Siswa Tes 574","Lulus","LAS"
"10575","Siswa Tes 575","Lulus","MESIN"
"10576","Siswa Tes 576","Lulus","TJKT"
